song,artist,url,lyrics,year
Reason,Fool's Garden,https://www.azlyrics.com/lyrics/foolsgarden/reason.html,"Bye, bye -
It's the same old wind again that calls me
- bye, bye -
on an ordinary day.
Bye, bye -
have you ever felt this lack of freedom
- bye, bye -
have you ever felt this way.

Leave it, don't leave it - I have to leave,
I can't go on pretending.
Nothing is real, don't you feel
that every road is ending.
Don't ask why i have to leave you,
don't you try, there have to be two.

We will never find a reason,
we will never find a way,
we will always run on empty,
we will always run away.

We will never find the answer
as long as we don't understand,
we can't walk this way together,
we cannot take each others hand.

I've said it all - holy eyes -
no more sweet surrender.
Forget it all - no more lies,
soon we will remember that
everything we tried to change
stayed always and always and always 
the same.

We will never find a reason,
we will never find a way,
we will always run on empty,
we will always run away.

We will never find the answer
as long as we don't understand,
we can't walk this way together,
we cannot take each others hand.

We will never find a reason,
we will never find a way,
we will always run on empty,
we cannot walk each other way.

We will never find the answer
as long as we don't understand
we can't walk this way together,
we cannot take each others hand.

There's a light inside the hollow,
there's a light behind the wall,
but we've got different lights to follow,
we have to fall, so let us fall.

I was afraid - I couldn't hear you,
I was ashamed but now I know
that we got different roads to follow,
that we got different ways to go.

We will never find a reason.
wWe will never find a reason.

We will never find a reason,
we will never find a way,
we will always run on empty,
we will always run away.

There's a light inside the hollow,
there's a light behind the wall,
but we've got different lights to follow,
we have to fall, so let us fall.",2003
Why Does It Hurt So Bad,Whitney Houston,https://www.azlyrics.com/lyrics/whitneyhouston/whydoesithurtsobad.html,"[Chorus:]
Why does it hurt so bad 
Why do I feel so sad 
Thought I was over you 
But I keep crying 
When I don't love you 
So why does it hurt so bad 
I thought I had let you go 
So why does it hurt me so 
I gotta get you outta my head 
It hurts so bad 
Oh it hurts so bad baby 

My life's been better 
Since the day I left you boy 
I must admit life's been kind to me 
I went and did the things I said I would boy 
I found someone who loves me for me 
Haven't had much drama since the day that we split boy 
My heart's never been more at ease 
And when I think of all the things you put me through 
Leaving you has been the best thing for me 

[Chorus:]
So why does it hurt so bad 
Why do I feel so sad 
I thought I was over you 
But I keep crying 
When I don't love you 
So why does it hurt so bad 
Baby I thought I had let you go 
So why does it hurt me so 
I gotta get you outta my head 
Hurts me so bad 
Hurts so (yeah you do) 
Hurts so (hurts me so) 
Hurts so bad (did you know) 
Hurts so (that it hurts me so) 
Hurts so (so bad, hey hoh) 

""Never again"" that's what I said to myself 
I never wanna feel kind of pain again boy 
Just when I think it's over 
Just when I think it's through 
I find myself right back in love with you 

[Chorus:]
So why does it hurt so bad oh baby 
Why do I feel so sad 
(thought I thought I) Thought I was over you 
I keep crying 
When I don't love you (when I really don't love you boy) 
(oh no oh no oh no oh no it hurts so bad, oh tell me) 
So why does it hurt so bad 
I thought I had let you go (thought I could let you go) 
You could 
Gotta get you outta my head 
Boy you hurt me so bad 
Hurts so (yeah you do) 
Hurts so (hurt me so) 
Hurts so bad (hurts so) 
Hurts so (sure you did) 
Hurts so (make me wanna make me wanna shoop shoop) 
Hurts so bad (hurt me so, gotta shoop now, hey hey hey hey) 
Hurts so bad (Hurts me so) 
Oh why, you hurt me so bad 
Bad... (how bout that?)",
Shadows and Regrets,Yellowcard,https://www.azlyrics.com/lyrics/yellowcard/shadowsandregrets.html,"I'm back, back in town
And everything has changed
I feel, feel let down
The faces stay the same
I see, see shadows
Of who we used to be
When I drive, drive so slow 
Through this memory

When we were only kids 
And we were best of friends
And we hoped for the best
And let go of the rest 

I heard, heard myself
Say things I take back
If I could, could retell
And make these stories last
I see, see shadows
Of who you'll always be
I drive, drive these roads
Made of memories

When we were only kids 
And we were best of friends
And we hoped for the best
And let go from the rest
Shadows and regrets
We let go from the rest 

Everything has changed
Faces stay the same
Everything has changed
Faces stay the same

And we were only kids 
And our time couldn't end 
And how tall did we stand 
With the world in my hands 
And we were only kids
And we were best of friends
And we hoped for the best
And let go of the rest
And shadows and regrets
We let go of the rest
Shadows and Regrets
We let go of the rest",2007
We Can't Be Friends,Deborah Cox,https://www.azlyrics.com/lyrics/deborahcox/wecantbefriends.html,"To just act like we never were 
To come around and not show hurt 
How dare we greet by shaking hands 
Just months ago I was your man 

Verbally we agreed 
It was over and we were through 
I'm trying to compose myself 
But I just can't get over you girl 

[Chorus:]
We can't be friends 
We can't be friends 
We can't be friends 
'Cause I'm still in love with you 

I went by Mother's, saw your car there 
To her you're still family, and it don't seem fair 
For everyone to just go on 
And I've tried and I can't do it 
'Cause I'm still torn 
I've tried to think of you 
As just another love in my past 
That didn't last 
But it's not that simple baby 

[Chorus]

You may see me staring 
Or catch me in a daze 
May see me hang my head 
When you come my way 
Don't get too close to me 
And expect me to behave 
I might just steal a kiss 
If you come near my face 
What I'm trying to say 

[Chorus]",1998
The Man You Love,Il Divo,https://www.azlyrics.com/lyrics/ildivo/themanyoulove.html,"Si me ves hallarÃ¡s en mis ojos el amor
eres tÃº la mitad que a mi vida completÃ³
Lo que soy te darÃ© sin miedo a algun error
creo en ti y dejarÃ© en tus manos mi ilusiÃ³n.
Quiero estar dentro de tu corazÃ³n,
Poder lograr que me ames como yo.

I only wanna be the man
to give you everything I can
every day and every night
love you for all my life.
I don't wanna change the world
as long as you're my girl
it's more than enough,
just to be the man you love.

Quiero ser el lugar donde puedas refugiar
el temor y calmar en mis brazos tu ansiedad
Desde hoy voy a ser todo para ti
Hasta ayer te soÃ±Ã© y ahora estÃ¡s aquÃ­
Quiero oir tus secretos, lo que sueÃ±es descubrir,
quiero amarte asÃ­.

I only wanna be the man
to give you everything I can
every day and every night
love you for all my life.
I don't wanna change the world
as long as you're my girl
it's more than enough,
just to be the man you love.

I only wanna be the man
to give you everything I can
every day and every night
love you for all my life.
I don't wanna change the world
as long as you're my girl
it's more than enough,
just to be the man you love.

Just to be the man you love",2005
En Aranjuez Con Tu Amor,Il Divo,https://www.azlyrics.com/lyrics/ildivo/enaranjuezcontuamor.html,"Aranjuez,
Un lugar de ensuenos y de amor
Donde u rumor de fuentes
de cristal
En el jardin parece hablar
En voz baja a las rosas

Aranjuez,
Hoy las hojas secas sin color
Que barre el viento
Son recuerdos del romance
Que una vez
Juntos empezamos tu y yo
Y sin razon olvidamos
Quiza ese amor escondido este
En un atardecer
En la brisa o en la flor
Esperando tu regreso

Aranjuez,
Hoy las hojas secas sin color
Que barre el viento
Son recuerdos del romace
Que una vez
Juntos empezamos tu y yo
Y sin razon olvidamos
En Aranjuez, amor
Tu y yo",2005
Quiet As A Mouse,Margot & the Nuclear So and So's,https://www.azlyrics.com/lyrics/margotthenuclearsoandsos/quietasamouse.html,"Tourists rob you of your home 
In sunken boats
You can hide quiet as a mouse
But they'll find you out

When she asked me, ""Why have you felt so down and out?
You can stay with me at my house.""

When I woke my back was broke from lying on the floor
Sunlight poured through all the cracks in my front door
Wake up you've got a lot of things to do
Wake up the sun is rising without you

Tourists robbed me of my child
They smoked him out
He was draft dodging some war
Until they found him out

He came home late in the night
To his mom and me
And he said, ""Times they gotta change,
But so do we.""

When I woke I was alive in somebody's room
I felt life and love and hope infested my bones
Wake up you've got a lot of things to do
Wake up the sun is rising without you

When I woke my body was dying all over the floor
I felt apathy and hate infested my bones
Wake up you've got a lot of things to do
Wake up the sun is rising without you",2006
Do I Have To Cry For You,Nick Carter,https://www.azlyrics.com/lyrics/nickcarter/doihavetocryforyou.html,"Don't wanna close the door,
Don't wanna give up on it
Don't wanna fight no more,
We'll find a way around it,
Where's the love we had?...
We can make it last

Tell me what I gotta be, 
Tell me what you wanna do
'Cause I can't live my life 
The way you want me to
You know I can't go on
Living like we do
Do I have to cry for you?
Do I have to cry for you?

So tell me what it's for, 
If there's no winner in it?
Nobody's keeping score,
Let's start from the beginning
Can we make it last
Whereâs the love we had

Tell me what I gotta be, 
Tell me what you wanna do
'Cause I can't live my life 
The way you want me to
You know I can't go on
Living like we do
Do I have to cry for you?
Do I have to cry for you?

Do I gotta stand in the cold dark night 
Till the morning light, yeah
Do I have to say
I won't let you get away

What do I gotta be, 
Tell me what you wanna do
'Cause I can't live my life 
The way you want me to
You know I can't go on
Living like we do
Do I have to cry for you?
Yeah

Yeah, yeah
Yeah, yeah, yeah
Oh no
You know I can't go on
Living like we do
Do I have to cry for you?
Do I have to cry for you?",2002
There Is None,The Working Title,https://www.azlyrics.com/lyrics/workingtitle/thereisnone.html,"[Verse 1]

I couldn't find you
Last night for quite some time
Wishing to tell you
Everything running through my mind
We would have drove down
Over the bridge and towards the sea
Parking the sad car
In between 24th and 5th

[Chorus]

I want to write a song about our love
But there is none

[Verse 2]

Still I continue
Driving the lonely road
My thoughts running over
Humming a sad forgotten song
Wasting all our time
That you're spending with someone else

[Chorus]

[Bridge]

Satiate my mind
And calm my nerves to look and find
Words that aren't enough
And never show a single piece of my mind

[Chorus x2]",2006
Happiness,Dance Gavin Dance,https://www.azlyrics.com/lyrics/dancegavindance/happiness.html,"Drowning in the lake
I only left her for a couple of seconds

And now she's gone

Waking up for what?
As I pace back and forth
Maybe it's time to move away
But what would that prove anyway?

Listening to the answering machine
Over and over
Only to hear your voice one more time
Just one more time

It's not your fault, that's what they all keep saying
(That's what they all keep saying)
Blaming myself, there's nothing left
Why do I bother praying?
(Why do I bother praying?)
[x2]

ohhh whoaaa ohhh..

Beg me for directions
Like I have all the answers
I neglected her life
Now what, what do I do with mine?

Listening to the answering machine
Over and over
Only to hear your voice one more time
Just one more time

It's not your fault, that's what they all keep saying
(That's what they all keep saying)
Blaming myself, there's nothing left
Why do I bother praying?
(Why do I bother praying?)
[x2]

Drowning in the lake
I only left her for a couple of seconds
(Drowning in the lake)
(I only left her for a couple of seconds)
I only left her for a couple of seconds
(Drowning, drowning)",2009
