song,artist,url,lyrics,year
Yellow Submarine,The Beatles,https://www.azlyrics.com/lyrics/beatles/yellowsubmarine.html,"In the town where I was born
Lived a man who sailed to sea
And he told us of his life
In the land of submarines

So we sailed up to the sun
'Til we found the sea of green
And we lived beneath the waves
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

And our friends are all aboard
Many more of them live next door
And the band begins to play

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

Full speed ahead, Mr. Boatswain, full speed ahead!
Full speed it is, Sergeant!
Cut the cable, drop the cable!
Aye-aye, sir, aye-aye!
Captain, Captain!

As we live a life of ease (a life of ease)
Everyone of us (everyone of us) has all we need (has all we need)
Sky of blue (sky of blue) and sea of green (sea of green)
In our yellow (in our yellow) submarine (submarine, ah-ha)

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine",1966
Dance Dance Dance,Lykke Li,https://www.azlyrics.com/lyrics/lykkeli/dancedancedance.html,"having trouble telling
how i feel
but i can dance, dance, dance
couldn't possibly tell you
how i mean
but i can dance, dance, dance

so when i trip on my feet
look at the beat
the words are
written in the sand
when i'm shaking my hips
look for the swing
the words are
written in the air

oh dance
i was a dancer all along
dance, dance, dance
words can never make up for what you do

easy conversations,
there's no such thing
oh, i'm shy, shy, shy
my hips they lie
'cause in reality, aye
i'm shy shy shy

when i trip on my feet
look at the ground
the words are
written in the dust
when i'm shaking my hips
look for the swing
the words are
written in the air

oh dance
i was a dancer all along
dance, dance, dance
now words can never make up for what you do

oh dance
i was a dancer all along
dance, dance, dance
now words can never make up for what you do",2008
Crazy Little Thing Called Love,Queen,https://www.azlyrics.com/lyrics/queen/crazylittlethingcalledlove.html,"This thing called love
I just can't handle it
This thing called love
I must get round to it
I ain't ready
Crazy little thing called love

This thing (this thing) called love (called love)
It cries (like a baby) in a cradle all night
It swings (ooh, ooh), it jives (ooh, ooh)
It shakes all over like a jelly fish,
I kinda like it
Crazy little thing called love

There goes my baby
She knows how to rock-n-roll
She drives me crazy
She gives me hot and cold fever
She leaves me in a cool, cool sweat

I gotta be cool, relax, get hip
Get on my tracks
Take a back seat, hitch-hike
And take a long ride on my motorbike
Until I'm ready
Crazy little thing called love

I gotta be cool, relax, get hip
And get on my tracks
Take a back seat, hitch-hike
And take a long ride on my motorbike
Until I'm ready (Ready Freddie)
Crazy little thing called love

This thing called love
I just can't handle it
This thing called love
I must get round to it
I ain't ready
Crazy little thing called love [repeat to fade]",1980
Hey Man (Now You're Really Living),Eels,https://www.azlyrics.com/lyrics/eels/heymannowyourereallyliving.html,"Do you know what it's like to fall on the floor
And cry your guts out 'til you got no more
Hey man now you're really living

Have you ever made love to a beautiful girl
Made you feel like it's not such a bad world
Hey man now you're really living

Now you're really giving everything
And you're really getting all you gave
Now you're really living what
This life is all about

Well i just saw the sun rise over the hill
Never used to give me much of a thrill
But hey man now you're really living

Do you know what it's like to care too much
'bout someone that you're never gonna get to touch
Hey man now you're really living

Have you ever sat down in the fresh cut grass
And thought about the moment and when it will pass
Hey man now you're really living

Now you're really giving everything
And you're really getting all you gave
Now you're really living what
This life is all about

Now what would you say if i told you that
Everyone thinks you're a crazy old cat
Hey man now you're really living

Do you know what it's like to fall on the floor
And cry your guts out 'til you got no more
Hey man now you're really living

Have you ever made love to a beautiful girl
Made you feel like it's not such a bad world
Hey man now you're really living

People sing
Do you know what it's like to fall on the floor
And cry your guts out 'til you got no more
Hey man now you're really living

Just saw the sun rise over the hill
Never used to give me much of a thrill
But hey man now i'm really living",2005
Octopus's Garden,The Beatles,https://www.azlyrics.com/lyrics/beatles/octopussgarden.html,"I'd like to be under the sea
In an octopus's garden in the shade
He'd let us in, knows where we've been
In his octopus's garden in the shade

I'd ask my friends to come and see
An octopus's garden with me
I'd like to be under the sea
In an octopus's garden in the shade

We would be warm below the storm
In our little hideaway beneath the waves
Resting our head on the sea bed
In an octopus's garden near a cave

We would sing and dance around
Because we know we can't be found
I'd like to be under the sea
In an octopus's garden in the shade

We would shout and swim about
The coral that lies beneath the waves
(Lies beneath the ocean waves)
Oh what joy for every girl and boy
Knowing they're happy and they're safe
(Happy and they're safe)

We would be so happy you and me
No one there to tell us what to do
I'd like to be under the sea
In an octopus's garden with you
In an octopus's garden with you
In an octopus's garden with you",1969
(If You're Wondering If I Want You To) I Want You To,Weezer,https://www.azlyrics.com/lyrics/weezer/ifyourewonderingifiwantyoutoiwantyouto.html,"The moon was shining on the lake at night
The Slayer T-shirt fit the scene just right
Through smeared mascara
I looked into your eyes and saw a light

You told me stories about your chickadees
They didn't like BB guns or stupid archery
You charmed the lifeguard
He let them use the pool all day for free

Then the conversation stopped
And I looked down at my feet
I was next to you and you were right there next to me
Then I said

Girl, if you're wondering if I want you to (I want you to)
I want you to
So make the move (make the move)
Cause I ain't got all night

The rest of the summer was the best we've ever had
We watched Titanic and it didn't make us sad
I took you to Best Buy
You took me home to meet your mom and dad

Your mom cooked meat loaf, even though I don't eat meat
I dug you so much, I took some for the team
Your dad was silent
His eyes were fixed to what was on TV

Then the conversation stopped, and I looked down at the ring
Your folks were next to you
And you were right there next to me
And I said

Girl, if you're wondering if I want you to (I want you to)
I want you to (I want you to)
I swear it's true (swear it's true)
Without you my heart is blue, oh
Girl, if you're wondering if I want you to (I want you to)
I want you to (I want you to)
So make the move (make the move)
Cause I ain't got all night

So much pain may come our way
There may come a day when we have nothing left to say

When the conversation stops and we're facing our defeat
I'll be next to you and you'll be right there next to me
Then I'll say

Girl, if you're wondering if I want you to (I want you to)
I want you to (I want you to)
I swear it's true (swear it's true)
Without you my heart is blue oh
Girl, if you're wondering if I want you to (I want you to)
I want you to (I want you to)
So make the move (make the move)
Cause I ain't got all night",2009
The Middle,Jimmy Eat World,https://www.azlyrics.com/lyrics/jimmyeatworld/themiddle.html,"Hey, don't write yourself off yet.
It's only in your head you feel left out or looked down on.
Just try your best, try everything you can.
And don't you worry what they tell themselves when you're away.

It just takes some time,
Little girl, you're in the middle of the ride.
Everything, everything will be just fine,
Everything, everything will be alright, alright.

Hey, you know they're all the same.
You know you're doing better on your own (on your own), so don't buy in.
Live right now, yeah, just be yourself.
It doesn't matter if it's good enough (good enough) for someone else.

It just takes some time,
Little girl, you're in the middle of the ride.
Everything, everything will be just fine,
Everything, everything will be alright, alright.
It just takes some time,
Little girl, you're in the middle of the ride.
Everything, everything will be just fine,
Everything, everything will be alright, alright.

Hey, don't write yourself off yet.
It's only in your head you feel left out (feel left out) or looked down on.
Just do your best (just do your best), do everything you can (do everything you can).
And don't you worry what the bitter hearts (bitter hearts) are gonna say.

It just takes some time,
Little girl, you're in the middle of the ride.
Everything, everything will be just fine,
Everything, everything will be alright, alright.
It just takes some time,
Little girl, you're in the middle of the ride.
Everything, everything will be just fine,
Everything, everything will be alright.",2001
Girls Just Want to Have Fun,Cyndi Lauper,https://www.azlyrics.com/lyrics/cyndilauper/girlsjustwanttohavefun.html,"I come home in the morning light
My mother says, ""When you gonna live your life right?""
Oh, mamma, dear, we're not the fortunate ones
And girlsâthey wanna have fun
Oh, girls just wanna have fun

The phone rings in the middle of the night
My father yells, ""What you gonna do with your life?""
Oh, daddy, dear, you know you're still number one
But girlsâthey wanna have fun
Oh, girls just wanna have

That's all they really want
Some fun
When the working day is done
Oh, girlsâthey wanna have fun
Oh, girls just wanna have fun

Girlsâthey wanna
Wanna have fun
Girls wanna have

Some boys take a beautiful girl
And hide her away from the rest of the world
I wanna be the one to walk in the sun
Oh girls they wanna have fun
Oh girls just wanna have

That's all they really want
Some fun
When the working day is done
Oh, girlsâthey wanna have fun
Oh girls just wanna have fun,

Girlsâthey wanna
Wanna have fun
Girls wanna have

[Ad-libs:]
They just wanna
They just wanna
Girls
Just wanna
Girls just wanna have fun
They just wanna
Girls just wanna have fun
Just wanna
Just wanna
They just wanna
They just wanna
When the working day is done
Everybody
They just wanna",1983
Twist and Shout,The Beatles,https://www.azlyrics.com/lyrics/beatles/twistandshout.html,"Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on baby)
Come on and work it on out (Work it on out)

Well, work it on out, honey (Work it on out)
You know you look so good (Look so good)
You know you got me goin' now (Got me goin')
Just like I knew you would (Like I knew you would)

Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon, c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)

Well, you twist, you little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)

Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon, c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)

Well, you twist, you little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)

Well, shake it, shake it, shake it, baby, now (Shake it up baby)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)",1963
Lisztomania,Phoenix,https://www.azlyrics.com/lyrics/phoenix/lisztomania.html,"So sentimental
Not sentimental no!
Romantic, not disgusting yet
Darling, Iâm down and lonely
When with the fortunate only
Iâve been looking for something else

Do let, do let, do let, jugulate, do let, do
Letâs go slowly, discouraged,
Distant from other interests
On your favorite weekend ending
This loveâs for gentlemen only
Thatâs with the fortunate only
No, I gotta be someone else
These days it comes, it comes, it comes, it comes, it comes and goes

[Chorus 2x:]
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh!
Not easily offended
Not hard to let it go
From a mess to the masses

Follow, misguide, stand still
Disgust, discourage
On this precious weekend ending
This loveâs for gentlemen only
Wealthiest gentlemen only
And now that youâre lonely
Do let, do let, do let, jugulate, do let, do

Letâs go slowly, discouraged,
Weâll burn the pictures instead
When itâs all over we can barely discuss
For one minute only
Not with the fortunate only
Thought it could have been something else
These days it comes, it comes, it comes, it comes, it comes and goes

[Chorus 2x]

Ooh, this is showtime, this is showtime, this is showtime [2x]
Time, time to show it off, time to show it off, it's time to show [2x]

From a mess to the masses!
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh!

Disgust, disgust, disgust, disgust, disgust, disgust, discouraged.",2009
