song,artist,url,lyrics,year
Sing in Silence,Sonata Arctica,https://www.azlyrics.com/lyrics/sonataarctica/singinsilence.html,"You were daddy's girl nice and sweet
Never in trouble mommy's honey
Little child who just couldn't see
The pressure from her so called friends
Was simply too much

The monkey slowly climbed on her back
Offering an aid for her pain
Giving love and care
No-one cared, no-one cared...

Fragile like a rose on the snow
Eating all your strength and your money
Walking in the shade day and night
Never letting sunshine in your eyes like before

Cannot shake the monkey off your back
Did I see a spark on your eye
Was it just the last light of hope
That died, hope that died

""Forgive me, Father, my daily sin...""

How can I forgive you, never leave you
You know that if you live like, you will die like
Haven of Emotion, Mournful Ocean
Heiress of the Evening Sings in silence

""I need to have now, my daily sin...""

For all your life I prayed for time
To show you where the light lies
Now this is the end
One rose for the memory of the innosence...

""I know, my Father, I cannot win...""

Never will forgive you, never leave you
You know that if you live like, you will die like
How can I erase your pain and aid you
When Death wants to kiss you and you want kiss Him back...",2001
The Needle Has Landed,Neko Case,https://www.azlyrics.com/lyrics/nekocase/theneedlehaslanded.html,"Here I am in traffic's slow flow
Where the needle touched down
Carbon planes draw a cage round the air force base
Where the needle touched down
My foot on the brake it's ok to fly low
Over poor Spanaway

An eagle swooped down from a semi-trailer
Took the name of your town from a sharp-toothed freighter
The needle's the same that recorded and played
When you left me at the greyhound the year I moved away
And if I knew then what's so obvious now
You'd still be here baby
My baby, baby

So that's why I never come back here
That's why they spit out my name
Your ex's have clawed up the bible
Trying to keep me away
With the sledge of tectonic fever
The needle has landed again
Let it play

And the needle touched down
The needle is landing
And the needle touched down
The needle is landing

An eagle swooped down from a semi-trailer
Took the name of your town
From a sharp-toothed freighter
And if I knew then what's so obvious now
You'd still be here",2006
The Jeep Song,The Dresden Dolls,https://www.azlyrics.com/lyrics/dresdendolls/thejeepsong.html,"I've been driving around town 
With my head spinning around
Everywhere i look i see
Your '96 jeep cherokee

You're a bully and a clown
You made me cry and put me down
After all that ive been through
You'd think i'd hate the sight of you

But with every jeep i see
My broken heart still skips a beat
I guess its just my stupid luck
That all of boston drives that same black fucking truck

It could be him or am i tripping
And i'm crashing into everything
And thinking about skipping town a while
Until these cars go out of style...

I try to see it in reverse
It makes the situation hundreds of times worse
When i wonder if it makes you want to cry 
Every time you see a light blue volvo driving by

So dont tell me that you're off to see the world
I know you wont get very far
Dont call me if you get another girl baby
Just call me if you get another car

The number of them is insane
Every exit's an exboyfriend memory lane
Every major street's a minor heart attack
I see a red jeep and i want to paint it black

It could be him or am i tripping
And i'm crashing into everything
I can't wait til you trade that fucker in
By then they will have stuck me in the looney bin

It could be him my heart is pounding
Its just no use i'm surrounded
But someday i'll steal your car and switch the gears
And drive that cherokee straight off this trail of tears",2004
You Had Time,Ani DiFranco,https://www.azlyrics.com/lyrics/anidifranco/youhadtime.html,"how can I go home
with nothing to say
I know you're going to look at me that way
and say what did you do out there
and what did you decide
you said you needed time
and you had time

you are a china shop
and I am a bull
you are really good food
and I am full
I guess everything is timing
I guess everything's been said
so I am coming home with an empty head

you'll say did they love you or what
I'll say they love what I do
the only one who really loves me is you
and you'll say girl did you kick some butt
and I'll say I don't really remember
but my fingers are sore
and my voice is too

you'll say it's really good to see you
you'll say I missed you horribly
you'll say let me carry that
give that to me
and you will take the heavy stuff
and you will drive the car
and I'll look out the window making jokes
about the way things are

how can I go home
with nothing to say
I know you're going to look at me that way
and say what did you do out there
and what did you decide
you said you needed time
and you had time",1994
Joining You,Alanis Morissette,https://www.azlyrics.com/lyrics/alanismorissette/joiningyou.html,"dear dar(lin') your mom (my friend) left a message on my machine she was frantic
saying you were talking crazy that you wanted to do away with yourself
I guess she thought i'd be a perfect resort because we've had 
this inexplicable connection since our youth and yes they're in shock 
they are panicked you and your chronic them and their drama
you this embarrassment us in the middle of this delusion
if we were our bodies
if we were our futures
if we were our defenses i'd be joining you
if we were our culture
if we were our leaders
if we were our denials i'd be joining you
I remember vividly a day years ago we were camping you knew more than you thought you should know
you said ""I don't want ever to be brainwashed"" and you were mindboggling you were intense
you were uncomfortable in your own skin you were thirsty but mostly you were beautiful
if we were our nametags
if we were our rejections
if we were our outcomes i'd be joining you
if we were our indignities
if we were our successes
if we were our emotions i'd be joining you
you and I we're like 4 year olds we want to know why and how come about everything
we want to reveal ourselves at will and speak our minds and never talk small and be intuitive
and question mightily and find god my tortured beacon
we need to find like-minded companions
if we were their condemnations
if we were their projections
if we were our paranoias i'd be joining you
if we were our incomes
if we were our obsession
if we were our afflictions i'd be joining you
we need reflection we need a really good memory feel free to call me a little more often",1998
The World Is Black,Good Charlotte,https://www.azlyrics.com/lyrics/goodcharlotte/theworldisblack.html,"Turn on channel seven at a quarter to eight
You see the same damn thing it's just a different day and
No one really knows why this is happening
But it's happening
And everywhere you go it's just a different place
You get the same dark feeling
See the same sad faces
No one really cares that this is happening

We come into this world
And we all are the same
In that moment there's no one to blame

But the world is black
And hearts are cold
And there's no hope
That's what we're told
And we can't go back
It won't be the same
Forever changed
By the things we've seen, seen

Living in this place it's always been this way
There's no one doing nothing so there's nothing changed
And I can't live when this world just keeps dying
It's dying
People always tell me this is part of the plan
That God's got everybody in His hands
But I can only pray that God is listening
Is He listening?

We're living in this world
Growing colder everyday
Nothing can stay perfect now I see

But the world is black
And hearts are cold
And there's no hope
That's what we're told
And we can't go back
It won't be the same
Forever changed
By the things we've seen, seen, seen

We come into this world
And we all are the same
And in that moment there's no one to blame
But we're living in this world
Growing colder everyday
Nothing can stay perfect now I see

The world is black
And hearts are cold
There's no hope
That's what we're told
And we can't go back
(We can't go back)
It won't be the same
(It won't be the same)
Forever changed
(What will ever change)
By the things we've seen, seen, seen

Turn on channel seven at a quarter to eight
You see the same damn thing it's just a different day
And no one really knows why this is happening",2004
If You Tolerate This Your Children Will Be Next,Manic Street Preachers,https://www.azlyrics.com/lyrics/manicstreetpreachers/ifyoutoleratethisyourchildrenwillbenext.html,"The future teaches you to be alone
The present to be afraid and cold
So if I can shoot rabbits
Then I can shoot fascists

Bullets for your brain today
But we'll forget it all again
Monuments put from pen to paper
Turns me into a gutless wonder

And if you tolerate this
Then your children will be next
And if you tolerate this
Then your children will be next
Will be next
Will be next
Will be next

Gravity keeps my head down
Or is it maybe shame
At being so young and being so vain

Holes in your head today
But I'm a pacifist
I've walked La Ramblas
But not with real intent

And if you tolerate this
Then your children will be next
And if you tolerate this
Then your children will be next
Will be next
Will be next
Will be next
Will be next

And on the street tonight an old man plays
With newspaper cuttings of his glory days

And if you tolerate this
Then your children will be next
And if you tolerate this
Then your children will be next
Will be next
Will be next
Will be next",1998
A Design for Life,Manic Street Preachers,https://www.azlyrics.com/lyrics/manicstreetpreachers/adesignforlife.html,"Libraries gave us power
Then work came and made us free
What price now for a shallow piece of dignity

I wish I had a bottle
Right here in my dirty face to wear the scars 
To show from where I came

We don't talk about love we only want to get drunk
And we are not allowed to spend
As we are told that this is the end

A design for life
A design for life
A design for life
A design for life

I wish I had a bottle
Right here in my pretty face to wear the scars
To show from where I came

We don't talk about love we only want to get drunk
And we are not allowed to spend
As we are told that this is the end

A design for life
A design for life
A design for life
A design for life

We don't talk about love we only want to get drunk
And we are not allowed to spend
As we are told that this is the end

A design for life
A design for life
A design for life
A design for...",1996
Going To A Town,Rufus Wainwright,https://www.azlyrics.com/lyrics/rufuswainwright/goingtoatown.html,"I'm going to a town that has already been burnt down
I'm going to a place that has already been disgraced
I'm gonna see some folks who have already been let down
I'm so tired of America

I'm gonna make it up for all of The Sunday Times
I'm gonna make it up for all of the nursery rhymes
They never really seem to want to tell the truth
I'm so tired of you, America

Making my own way home, ain't gonna be alone
I've got a life to lead, America
I've got a life to lead

Tell me, do you really think you go to hell for having loved?
Tell me, enough of thinking everything that you've done is good
I really need to know, after soaking the body of Jesus Christ in blood
I'm so tired of America

I really need to know
I may just never see you again, or might as well
You took advantage of a world that loved you well
I'm going to a town that has already been burnt down
I'm so tired of you, America

Making my own way home, ain't gonna be alone
I've got a life to lead, America
I've got a life to lead
I got a soul to feed
I got a dream to heed
And that's all I need

Making my own way home, ain't gonna be alone
I'm going to a town
That has already been burnt down",2007
Have I Told You Lately,Van Morrison,https://www.azlyrics.com/lyrics/vanmorrison/haveitoldyoulately.html,"Have I told you lately that I love you
Have I told you there's no one above you
Fill my heart with gladness
Take away my sadness
Ease my troubles, that's what you do

Oh the morning sun in all its glory
Greets the day with hope and comfort too
And you fill my life with laughter
You can make it better
Ease my troubles that's what you do

There's a love that's divine
And it's yours and it's mine
Like the sun at the end of the day
We should give thanks and pray to the One

Have I told you lately that I love you
Have I told you there's no one above you
Fill my heart with gladness
Take away my sadness
Ease my troubles, that's what you do

There's a love that's divine
And it's yours and it's mine
And it shines like the sun
At the end of the day we will give thanks
And pray to the One

Have I told you lately that I love you
Have I told you there's no one above you
Fill my heart with gladness
Take away my sadness
Ease my troubles, that's what you do

Take away my sadness
Fill my life with gladness
Ease my troubles that's what you do
Fill my life with gladness
Take away my sadness
Ease my troubles that's what you do.",1989
