song,artist,url,lyrics,year
The Revolution Will Not Be Televised,Gil Scott-Heron,https://www.azlyrics.com/lyrics/gilscottheron/therevolutionwillnotbetelevised.html,"You will not be able to stay home, brother
You will not be able to plug in, turn on and cop out
You will not be able to lose yourself on skag and
Skip out for beer during commercials
Because the revolution will not be televised

The revolution will not be televised
The revolution will not be brought to you by Xerox
In 4 parts without commercial interruptions
The revolution will not show you pictures of Nixon
Blowing a bugle and leading a charge by John
Mitchell, General Abrams and Spiro Agnew to eat
Hog maws confiscated from a Harlem sanctuary

The revolution will not be televised
The revolution will not be brought to you by the
Schaefer Award Theatre and will not star Natalie
Wood and Steve McQueen or Bullwinkle and Julia
The revolution will not give your mouth sex appeal
The revolution will not get rid of the nubs
The revolution will not make you look five pounds thinner
Because the revolution will not be televised, Brother

There will be no pictures of you and Willie May
Pushing that shopping cart down the block on the dead run
Or trying to slide that color TV into a stolen ambulance
NBC will not be able to predict the winner at 8:32
On reports from 29 districts
The revolution will not be televised

There will be no pictures of pigs shooting down
Brothers on the instant replay
There will be no pictures of pigs shooting down
Brothers on the instant replay
There will be no pictures of Whitney Young being
Run out of Harlem on a rail with a brand new process
There will be no slow motion or still life of Roy
Wilkins strolling through Watts in a Red, Black and
Green liberation jumpsuit that he has been saving
For just the proper occasion

Green Acres, Beverly Hillbillies, and Hooterville
Junction will no longer be so damned relevant, and
Women will not care if Dick finally got down with
Jane on Search for Tomorrow because Black people
Will be in the street looking for a brighter day
The revolution will not be televised

There will be no highlights on the eleven o'clock
News and no pictures of hairy armed women
Liberationists and Jackie Onassis blowing her nose
The theme song will not be written by Jim Webb or
Francis Scott Key, nor sung by Glen Campbell, Tom
Jones, Johnny Cash, Engelbert Humperdinck, or The Rare Earth
The revolution will not be televised

The revolution will not be right back
After a message about a white tornado, white lightning, or white people
You will not have to worry about a dove in your
Bedroom, a tiger in your tank, or the giant in your toilet bowl
The revolution will not go better with Coke
The revolution will not fight the germs that may cause bad breath
The revolution will put you in the driver's seat

The revolution will not be televised, will not be televised
Will not be televised, will not be televised
The revolution will be no re-run brothers
The revolution will be live",1971
Get Down To It,Humble Pie,https://www.azlyrics.com/lyrics/humblepie/getdowntoit.html,"I love you, babe, do you know?
I'll be any place you want me to go
Save my love for you, yes I will
When you need love to help you, do not fear.

Sweet sweet babe, I've found a nurse
I know I can, girl, you be my trust
Ooh ee baby, ooh ee
Get down and do those things you do to me.

You're alright, oh no
All the time since you left your spell on me.

Your lovin' set my soul on fire
Your love is my one desire
Ooh ee baby, ooh ee
Get down and do those things you do to me (get down).

Like didn't I say the rest girl?
Always tryin' to do your best girl.

I love you girl, do you know?
I'll be any place anytime you want me to go
Ooh ee baby, ooh ee
Get down and do those things you do to me (get down).

(Ooh ooh get on down)
(Ooh baby get on down)
(Ooh ooh get on down)
(Ooh baby get on down)",1973
No Fun,The Stooges,https://www.azlyrics.com/lyrics/stooges/nofun.html,"No fun my babe
No fun 
No fun my babe
No fun 
No fun to hang around
Feelin' that same old way
No fun to hang around 
Freaked out for another day
No fun my babe
No fun 
No fun my babe
No fun 
No fun to be alone
Walking by myself
No fun to be alone 
In love with nobody else
Well maybe go out, maybe stay home
Maybe call Mom on the telephone
Well c'mon, well c'mon
C'mon c'mon
Now Ron, I say Ron 
C'mon and lemme hear you tell em
Lemme hear you tell em
Now I feel
I say lemme hear you
Tell em how I feel, yeah, my man
No fun to be alone
It's no fun to be alone
Hang on
Don't you lemme go
It's no fun to alone
To be alone",1969
Don't Let It Bring You Down,Neil Young,https://www.azlyrics.com/lyrics/neilyoung/dontletitbringyoudown.html,"Old man lying
By the side of the road
With the lorries rolling by
Blue moon sinking
From the weight of the load
And the buildings scrape the sky

Cold wind ripping
Down the alley at dawn
And the morning paper flies
Dead man lying
By the side of the road
With the daylight in his eyes

Don't let it bring you down
It's only castles burning
Find someone who's turning
And you will come around

Blind man running
Through the light
Of the night
With an answer in his hand
Come on down
To the river of sight
And you can really understand

Red lights flashing
Through the window
In the rain
Can you hear the sirens moan?
White cane lying
In a gutter in the lane
If you're walking home alone

Don't let it bring you down
It's only castles burning
Just find someone who's turning
And you will come around

Don't let it bring you down
It's only castles burning
Just find someone who's turning
And you will come around",1970
Out at the Pictures,Hot Chip,https://www.azlyrics.com/lyrics/hotchip/outatthepictures.html,"It's on every street
It's fucking cheap
Sometimes you find up in your mind.

Are you at the pictures,
Or out at sea?
It's better this way,
Trust you, believe me.

Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(there's a whole world in there)
Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(just don't stop and stare)
Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(you will find gel there)
Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(there's a hole in the world there)

We like it for what we just got
It's better still
It's something hot

Out at the pictures
I cannot see
It's better this way
Trust you, believe me

Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(there's a whole world in there)
Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(just don't stop and stare)
Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(you will find gel there)
Whe-the-whe-the-whe-the-whe-the-weather weather weather weather
(there's a hole in the world there)",2008
Time to Get Away,LCD Soundsystem,https://www.azlyrics.com/lyrics/lcdsoundsystem/timetogetaway.html,"Its time to get away, its time to get away from you
Its time to get away, its time to get away from you
You brought a lot of money
But me, I got a tiny tummy
And you, you make me sleep
I try and try
But you're under my knee
And I start to be sensible (if you know what I mean)
And so its time to get away, Its time to get away from you
I'm dying to get away, I'm dying to get away
Next time we'll talk it over
And we can start again
For you, I caught a lot of static
And me, I would like it automatic
Ah-what what what what what did you think would happen next?
Ah-what what what what what could it ever be?
Though its time to get away, its time to get away from you
I'm dying to get away, I'm dying to get away
Next time let's talk about it
And maybe start again
To think I used to pity you
To think I used to pity you, it's true
To think I used to pity you
To think I used to talk to you, it's true
Next time we can talk about it
Or even start again
I couldn't tell you what you wanted
(You know what I'm saying?) I knew you were low man,
But the truth is I was shocked
(Of) power eyes, eyes never lie
Kids, Kids never lie.",2007
Macarena,Los Del Rio,https://www.azlyrics.com/lyrics/losdelrio/macarena.html,"Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegria y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Y en la jura de bandera del muchacho
Se la vio con dos amigos

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Y en la jura de bandera el muchacho
Se metiÃ³ con dos amigos

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Que en la jura de bandera el muchacho
Se metiÃ³ con dos amigos

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Macarena sueÃ±a con El Corte InglÃ©s
Y se compra los modelos mÃ¡s modernos
Le gustarÃ­a vivir en Nueva York
Y ligar un novio nuevo

Macarena sueÃ±a con El Corte InglÃ©s
Que se compra los modelos mÃ¡s modernos
Le gustarÃ­a vivir en Nueva York
Y ligar un novio nuevo

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Que en la jura de bandera el muchacho
Se metiÃ³ con dos amigos

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Y en la jura de bandera el muchacho
Se metiÃ³ con dos amigos

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena

Dale a tu cuerpo alegrÃ­a Macarena
Que tu cuerpo es pa' darle alegrÃ­a y cosa buena
Dale a tu cuerpo alegrÃ­a Macarena
Hey Macarena",
Oh Papa,Vetiver,https://www.azlyrics.com/lyrics/vetiver/ohpapa.html,"Oh papa, don't be so mad
I'm taking the car for so very fast
You won't mind it missing at all
Oh papa

C'est Ã§a va, don't worry 'bout me
I'll be safe, come home early
You won't mind me missing at all
Oh papa

Oh papa, don't be so mad
I'm taking the car for so very fast
You won't mind me missing at all
Oh papa",2004
Red Right Hand,Nick Cave & The Bad Seeds,https://www.azlyrics.com/lyrics/nickcavethebadseeds/redrighthand.html,"Take a little walk to the edge of town
and go across the tracks
Where the viaduct looms,
like a bird of doom
As it shifts and cracks
Where secrets lie in the border fires,
in the humming wires
Hey man, you know
you're never coming back
Past the square, past the bridge,
past the mills, past the stacks
On a gathering storm comes
a tall handsome man
in a dusty black coat with
a red right hand

He'll wrap you in his arms,
tell you that you've been a good boy
He'll rekindle all the dreams
it took you a lifetime to destroy
He'll reach deep into the hole,
heal your shrinking soul,
but there won't be a single thing
that you can do
He's a god, he's a man,
he's a ghost, he's a guru
They're whispering his name
through this disappearing land
But hidden in his coat
is a red right hand

You don't have no money?
He'll get you some
You don't have no car? 
He'll get you one
You don't have no self-respect,
you feel like an insect
Well don't you worry buddy,
'cause here he comes
Through the ghettos and the barrio
and the bowery and the slum
A shadow is cast wherever he stands
Stacks of green paper in his
red right hand

You'll see him in your nightmares,
you'll see him in your dreams
He'll appear out of nowhere but
he ain't what he seems
You'll see him in your head,
on the TV screen
And hey buddy, I'm warning
you to turn it off
He's a ghost, he's a god,
he's a man, he's a guru
You're one microscopic cog
in his catastrophic plan
Designed and directed by
his red right hand",1994
The Canals Of Our City,Beirut,https://www.azlyrics.com/lyrics/beirut/thecanalsofourcity.html,"Walls gone over the sea
But not for me
Watch now, all will end
Now all that I'm, under a tide
Now I'm, under a tide
Tall hair under it all
Much more than I once had
Over seas",2006
