song,artist,url,lyrics,year
Last Flowers,Radiohead,https://www.azlyrics.com/lyrics/radiohead/lastflowers.html,"Appliances have gone berserk
I cannot keep up
Treading on people's toes
Snot-nosed little punk

And I can't face the evening straight
You can offer me escape
Houses move and houses speak
If you take me there you'll get relief
Relief, relief, relief, relief...

And if I'm gonna talk
I just wanna talk
Please don't interrupt
Just sit back and listen

'Cause I can't face the evening straight
You can offer me escape
Houses move and houses speak
If you take me there you'll get relief
Relief, relief, relief, relief...

It's too much
Too bright
Too powerful

Too much
Too bright
Too powerful

Too much
Too bright
Too powerful

Too much
Too bright
Too powerful",2007
Somewhere In My Broken Heart,Billy Dean,https://www.azlyrics.com/lyrics/billydean/somewhereinmybrokenheart.html,"You made up your mind it was time it was over
After we had come so far
I think there's enough pieces of forgiveness
Somewhere in my broken heart

I would not have chosen the road you have taken
It has left us miles apart
I think I can still find the will to keep going
Somewhere in my broken heart

So fly, go ahead and fly
Till you find out who you are
And I, I will keep my love unspoken
Somewhere in my broken heart

I hope that in time you will find what you long for
Love that's written in the stars
When you finally do, I think you will see
It's somewhere in my broken heart

Girl, I, I will keep my love unspoken
Somewhere in my broken heart

I hope that in time you will find what you long for
Love that's written in the stars
When you finally do, I think you will see 
It's somewhere in my broken
Somewhere in my broken
Somewhere in my broken heart",1990
When It Rains,Paramore,https://www.azlyrics.com/lyrics/paramore/whenitrains.html,"And when it rains
On this side of town it touches, everything
Just say it again and mean it
We don't miss a thing
You made yourself a bed
At the bottom of the blackest hole (blackest hole)
And convinced yourself that
It's not the reason you don't see the sun anymore

And no, oh, how could you do it?
Oh I, I never saw it coming
No, oh, I need the ending
So why can't you stay
Just long enough to explain?

And when it rains
You always find an escape
Just running away
From all of the ones who love you
From everything
You made yourself a bed
At the bottom of the blackest hole (blackest hole)
And you'll sleep 'til May
And you'll say that you don't wanna see the sun anymore

And no, oh, how could you do it?
Oh I, I never saw it coming
And no, oh, I need the ending
So why can't you stay just long enough to explain?

Take your time
Take my time

Take these chances to turn it around (take your time)
Take these chances, we'll make it somehow
And take these chances to turn it around (take my...)
Just turn it around

No, how could you do it?
Oh I, I never saw it coming
No, oh, how could you do it?
Oh I, I never saw it coming
No, oh, how could you do it?
Oh I, I never saw it coming
No, oh I need an ending
So why can't you stay
Just long enough to explain?

You could take your time
Take my time",2007
Here Comes Goodbye,Rascal Flatts,https://www.azlyrics.com/lyrics/rascalflatts/herecomesgoodbye.html,"I can hear the truck tires coming up the gravel road
And its not like her to drive that slow, nothin's on the radio
Footsteps on the front porch, I hear my doorbell
She usually comes right in, now I can tell

[Chorus]
Here comes goodbye
Here comes the last time
Here comes the start of every sleepless night
The first of every tear I'm gonna cry
Here comes the pain 
Here comes me wishing things had never changed
And she was right here in my arms tonight, but here comes goodbye

I can hear her say I love you like it was yesterday
And I can see it written on her face that she had never felt this way
One day I thought I'd see her with her daddy by her side
And violins would play here comes the bride

[Chorus]
Here comes goodbye
Here comes the last time
Here comes the start of every sleepless night
The first of every tear I'm gonna cry
Here comes the pain 
Here comes me wishing things had never changed
And she was right here in my arms tonight, but here comes goodbye

Why does it have to go from good to gone?
Before the lights turn on, yeah and you're left alone
All alone, but here comes goodbye

Oh-oooo

[Chorus]
Here comes goodbye 
Here comes the last time
Here comes the start of every sleepless night
The first of every tear I'm gonna cry
Here comes the pain 
Here comes me wishing things had never changed
And she was right here in my arms tonight, but here comes goodbye

Oh-oooo",2009
Nights Like This,After 7,https://www.azlyrics.com/lyrics/after7/nightslikethis.html,"Shu bee doop do do doo oooo....
Shu bee doop do do doo
Shu bee doop do do doo oooo....
Shu bee doop do do doo

I could feel that it was over
Your love for me
Why couldn't you tell me you had
Another on your mind?
Its no way to treat me when you know
How I feel inside

I could not hide the way I felt last nite.
Tears I cried
My love for you I can't deny no no no no

Nights like this I wish
Rain drops would fall(yes I do hey baby ooo)
Nights like this I wish that
Rain drops would fall

Girl now I know what been goin' on
You got another lover and you got it goin' strong
Been walkin' round town with a smile on my face
Tryin' to fight the hurt tryin' to hide the shame baby

I can not cry no more,
Now I realize
I was too blind baby
Bein' a fool in love you
Know it ain't right girl
If you really wanna be
In happy baby

Nights like this I wish
Rain drops would fall (yes I do hey baby ooo)
Nights like this I wish that
Rain drops would fall

Yeah yeah oh how I wish rain drops would fall on my face babe)
Hey ohhhh ohhhh
Rain rain baby rain drops on my face baby

Ooooo ooooo day I cried

I could feel when every thing was not to real
Inside I cried to win your love you know I tried

Come one go on keep rain drops fallin' on my face baby
Eh come on come on yeah
Hey let them fall baby",
I Can't Unlove You,Kenny Rogers,https://www.azlyrics.com/lyrics/kennyrogers/icantunloveyou.html,"Postcards and letters
And pictures made to last forever
To be boxed up and tossed away
Knickknacks and souvenirs
In an afternoon, they're out of here
They'll disappear without a trace
But what they mean to me
Can never be replaced

I can't unthink about you
I can't unfeel your touch
I can't unhear all the words
Unsay all the things
That used to mean so much
I wish I could unremember
Everything my heart's been through
And finding out it's impossible to do
Oh, it's no use
I can't unlove you

Interstates and old songs
Like time they go on and on
I guess I could learn to do the same
I could wake up without you
These two arms not around you
Tell myself it's meant to be this way
No matter how I try somethings I can't change

I can't unthink about you
I can't unfeel your touch
I can't unhear all the words
Unsay all the things
That used to mean so much
I wish I could unremember
Everything my heart's been through
And finding out it's impossible to do
Oh, no
Oh, it's no use
I can't unlove you

I wish I could unremember
Everything my heart's been through
And finding out it's impossible to do
Oh, oh, it's no use
I can't unlove you",2006
Run Joey Run,Glee Cast,https://www.azlyrics.com/lyrics/gleecast/runjoeyrun.html,"Daddy please don't
It wasn't his fault
He means so much to me
Daddy please don't
We're gonna get married
Just you wait and see

Every night, the same old dream
I hate to close my eyes
I can't erase the memory
The sound of Julie's cry

She called me up, late that night
She said, ""Joe, don't come over
My Dad and I just had a fight
And he stormed out the door

I've never seen him act this way
My God, he's goin' crazy
He said he's gonna make you pay
For what we done, he's got a gun
So run, Joey run, Joey run!""

Daddy please don't
It wasn't his fault
He means so much to me
Daddy please don't
We're gonna get married
Just you wait and see

Got in my car, drove like mad
'Til I reached Julie's place
She ran to me, with tear-filled eyes
And bruises on her face

All at once I saw him there
Sneakin' up behind me (Watch out!)
Then Julie yelled, ""He's got a gun!""
And she stepped in front of me

Suddenly, a shot rang out
And I saw Julie falling
I ran to her, I held her close
When I looked down, my hands were red!
And here's the last words Julie said...

Daddy please don't
It wasn't his fault
He means so much to me
Daddy please don't
We're gon...na get... mar...ried...

Run, Joey run, Joey run, Joey run, Joey run, Joey run, Joey run!",
Tear,The Smashing Pumpkins,https://www.azlyrics.com/lyrics/smashingpumpkins/tear.html,"The lights came on fast 
Lost in motorcrash 
Gone in a flash unreal 
But you knew all along 
You laugh the light 
I sing the songs 
To watch you numb 

I saw you there 
You were on your way 
You held the rain 
And for the first time 
Heaven seemed insane 
Cause heaven is to blame 
For taking you away 

Do you know the way that I can? 
Do you know the way that I can't lose? 
Do you know the things that I can? 
Do you know the things that I can do? 

Where is your heart? where is your heart gone to? 
Tear me apart 
Tear me apart from you 
You laugh the light I cry the wound 
In gray afternoons 

I saw you there 
You were on your way 
You held the rain 
And for the first time 
Heaven seemed insane 
Cause heaven is to blame 
For taking you away 

The lights came to pass 
Dead opera motorcrash 
Gone in a flash unreal 
In nitrous overcast 

Do you know the way that I can? 
Do you know the way that I can't choose? 
Do you know the things that I can? 
Do you know the things that I can't lose? 

Tear me apart 
Tear me apart from you 
Where is your heart? 
Where has your heart run to?",1998
Ghost in This House,Alison Krauss,https://www.azlyrics.com/lyrics/alisonkrauss/ghostinthishouse.html,"I don't pick up the mail
I don't pick up the phone
I don't answer the door
I'd just as soon be alone
I don't keep this place up
I just keep the lights down
I don't live in these rooms
I just rattle around

I'm just a ghost in this house
I'm just a shadow upon these walls
As quietly as a mouse I haunt these halls
I'm just a whisper of smoke
I'm all that's left of two hearts on fire
That once burned out of control
You took my body and soul
I'm just a ghost in this house

I don't care if it rains
I don't care if it's clear
I don't mind staying in
There's another ghost here
He sits down in your chair
And he shines with your light
And he lays down his head
On your pillow at night

I'm just a ghost in this house
I'm just a shadow upon these walls
I'm living proof of the damage
Heartbreak does
I'm just a whisper of smoke
I'm all that's left of two hearts on fire
That once burned out of control
And took my body and soul
I'm just a ghost in this house
Oh, I'm just a ghost in this house",1999
Harder Now That It's Over,Ryan Adams,https://www.azlyrics.com/lyrics/ryanadams/hardernowthatitsover.html,"They slapped 'em on you 
Where that bracelet used to be 
You know the one I bought you in phoenix 
Where they sell old jewelry 
I was trying to make you angry 
But I didn't feed you to the cops 
When I threw that drink in that guy's face 
It was just to piss you off 
'Cause honey it's over 

It's harder now that it's over 
It's harder now that it's over 
Now that the cuffs are off 
And you're free 
You're free with a history 

I heard your wrists got bruised 
Must've felt just like old times 
I wish you would've grabbed the gun 
And shot me 'cause I died 
And I'm nothing now without you 
yeah, I'm less than nothing now 

I'm the one between the bars and lost forever now 
'Cause it's over now 

It's harder now that it's over 
It's harder now that it's over 
Now that the cuffs are off 
And you're free 
You're free with a history 

Free with a history 
You're free 
Free with a history 

I'm sorry",2001
