song,artist,url,lyrics,year
How to Disappear Completely,Radiohead,https://www.azlyrics.com/lyrics/radiohead/howtodisappearcompletely.html,"That there, that's not me
I go where I please
I walk through walls
I float down the Liffey

I'm not here
This isn't happening
I'm not here, I'm not here

In a little while
I'll be gone
The moment's already passed
Yeah, it's gone

I'm not here
This isn't happening
I'm not here, I'm not here

Strobe lights and blown speakers
Fireworks and hurricanes

I'm not here
This isn't happening
I'm not here, I'm not here....",2000
You're Beautiful,James Blunt,https://www.azlyrics.com/lyrics/jamesblunt/yourebeautiful.html,"My life is brilliant

My life is brilliant
My love is pure
I saw an angel
Of that I'm sure
She smiled at me on the subway
She was with another man
But I won't lose no sleep on that
'Cause I've got a plan

You're beautiful. You're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

Yes, she caught my eye
As we walked on by
She could see from my face that I was
Fucking high
[Flying high - video/radio edited version]
And I don't think that I'll see her again
But we shared a moment that will last 'til the end

You're beautiful. You're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

You're beautiful. You're beautiful
You're beautiful, it's true
There must be an angel with a smile on her face
When she thought up that I should be with you
But it's time to face the truth
I will never be with you",2004
Wish You Were Here,Pink Floyd,https://www.azlyrics.com/lyrics/pinkfloyd/wishyouwerehere.html,"So, so you think you can tell Heaven from Hell, blue skies from pain.
Can you tell a green field from a cold steel rail?
A smile from a veil?
Do you think you can tell?

Did they get you to trade your heroes for ghosts?
Hot ashes for trees?
Hot air for a cool breeze?
Cold comfort for change?
Did you exchange
A walk-on part in the war for a lead role in a cage?

How I wish, how I wish you were here.
We're just two lost souls swimming in a fish bowl, year after year,
Running over the same old ground.
What have we found?
The same old fears.
Wish you were here.",1975
Delicate,Damien Rice,https://www.azlyrics.com/lyrics/damienrice/delicate.html,"We might kiss when we are alone
When nobody's watching
We might take it home
We might make out when nobody's there
It's not that we're scared
It's just that it's delicate

So why do you fill my sorrow
With the words you've borrowed
From the only place you've known
And why do you sing Hallelujah
If it means nothing to you
Why do you sing with me at all?

We might live like never before
When there's nothing to give
Well how can we ask for more
We might make love in some sacred place
The look on your face is delicate

So why do you fill my sorrow
With the words you've borrowed
From the only place you've known
And why do you sing Hallelujah
If it means nothing to you
Why do you sing with me at all?

So why do you fill my sorrow
With the words you've borrowed
From the only place you've known
And why do you sing Hallelujah
If it means nothing to you
Why do you sing with me at all?",2003
Lonely Day,System of a Down,https://www.azlyrics.com/lyrics/systemofadown/lonelyday.html,"Such a lonely day
And it's mine
The most loneliest day of my life

Such a lonely day
Should be banned
It's a day that I can't stand

The most loneliest day of my life
The most loneliest day of my life

Such a lonely day
Shouldn't exist
It's a day that I'll never miss
Such a lonely day
And it's mine
The most loneliest day of my life

And if you go, I wanna go with you
And if you die, I wanna die with you

Take your hand and walk away

The most loneliest day of my life
The most loneliest day of my life
The most loneliest day of my life
Life

Such a lonely day
And it's mine
It's a day that I'm glad I survived",2005
Love Will Tear Us Apart,Joy Division,https://www.azlyrics.com/lyrics/joydivision/lovewilltearusapart.html,"When routine bites hard,
And ambitions are low,
And resentment rides high,
But emotions won't grow,
And we're changing our ways,
Taking different roads.

Then love, love will tear us apart again.
Love, love will tear us apart again.

Why is the bedroom so cold?
You've turned away on your side.
Is my timing that flawed?
Our respect runs so dry.
Yet there's still this appeal
That we've kept through our lives.

But love, love will tear us apart again.
Love, love will tear us apart again.

You cry out in your sleep,
All my failings exposed.
And there's a taste in my mouth,
As desperation takes hold.
Just that something so good
Just can't function no more.

But love, love will tear us apart again.
Love, love will tear us apart again.
Love, love will tear us apart again.
Love, love will tear us apart again.",ompi
Unintended,Muse,https://www.azlyrics.com/lyrics/muse/unintended.html,"You could be my unintended
Choice to live my life extended
You could be the one I'll always love
You could be the one who listens to my deepest inquisitions
You could be the one I'll always love

I'll be there as soon as I can
But I'm busy mending broken pieces of the life I had before

First there was the one who challenged
All my dreams and all my balance
She could never be as good as you

You could be my unintended
Choice to live my life extended
You should be the one I'll always love

I'll be there as soon as I can
But I'm busy mending broken pieces of the life I had before

I'll be there as soon as I can
But I'm busy mending broken pieces of the life I had before

Before you...",1999
Something I Can Never Have,Nine Inch Nails,https://www.azlyrics.com/lyrics/nineinchnails/somethingicanneverhave.html,"I still recall the taste of your		 tears
Echoing your voice just like the ringing in my ears
My favorite dreams of you still wash ashore
Scraping through my head 'till I don't want to sleep anymore

[Chorus:]
You make this all go away
You make this all go away
I'm down to just one thing
And I'm starting to scare myself
You make this all go away
You make this all go away
I just want something
I just want something I can never have

You always were the one to show me how
Back then I couldn't do the things that I can do now
This thing is slowly taking me apart
Grey would be the color if I had a heart

Come on tell me

[Chorus]

In this place it seems like such a shame
Though it all looks different now
I know it's still the same
Everywhere I look you're all I see
Just a fading fucking reminder of who I used to be

Come on tell me

[Chorus]

I just want something I can never have",1989
Street Spirit (Fade Out),Radiohead,https://www.azlyrics.com/lyrics/radiohead/streetspiritfadeout.html,"Rows of houses, all bearing down on me
I can feel their blue hands touching me
All these things into position
All these things we'll one day swallow whole

And fade out again and fade out

This machine will, will not communicate
These thoughts and the strain I am under
Be a world child, form a circle
Before we all go under

And fade out again and fade out again

Cracked eggs, dead birds
Scream as they fight for life
I can feel death, can see its beady eyes
All these things into position
All these things we'll one day swallow whole

And fade out again and fade out again

Immerse your soul in love
Immerse your soul in love",1995
Chasing Cars,Snow Patrol,https://www.azlyrics.com/lyrics/snowpatrol/chasingcars.html,"We'll do it all
Everything
On our own

We don't need
Anything
Or anyone

If I lay here
If I just lay here
Would you lie with me and just forget the world?

I don't quite know
How to say
How I feel

Those three words
Are said too much
They're not enough

If I lay here
If I just lay here
Would you lie with me and just forget the world?

Forget what we're told
Before we get too old
Show me a garden that's bursting into life

Let's waste time
Chasing cars
Around our heads

I need your grace
To remind me
To find my own

If I lay here
If I just lay here
Would you lie with me and just forget the world?

Forget what we're told
Before we get too old
Show me a garden that's bursting into life

All that I am
All that I ever was
Is here in your perfect eyes, they're all I can see

I don't know where
Confused about how as well
Just know that these things will never change for us at all

If I lay here
If I just lay here
Would you lie with me and just forget the world?",2006
