song,artist,url,lyrics,year
More Today Than Yesterday,Diana Ross,https://www.azlyrics.com/lyrics/dianaross/moretodaythanyesterday.html,"I don't remember what day it was
I didn't notice what time it was
All I know is that I fell in love with you
And if all my dreams come true
I'll be spending time with you

Every day's a new day in love with you
With each day comes a new way of loving you
Every time I kiss your lips my mind starts to wander
And if all my dreams come true
I'll be spending time with you

Oh, I love you more today than yesterday
But not as much as tomorrow
I love you more today than yesterday
But, darling, not as much as tomorrow

Tomorrow's date means springtime's just a day away
Cupid, we don't need ya now, be on your way
I thank the lord for love like ours that grows ever stronger
And I always will be true
I know you feel the same way too

Oh, I love you more today than yesterday
But not as much as tomorrow
I love you more today than yesterday
But only half as much as tomorrow

Every day's a new day, every time I love ya
Every way's a new way, every time I love ya
Every day's a new day, oh, how I love ya",2006
I Woke Up In A Car,Something Corporate,https://www.azlyrics.com/lyrics/somethingcorporate/iwokeupinacar.html,"i woke up in new york city 
from my sleep behind the wheel 
caught a train to Poughkeepsie
and time stood still 

she wrote me a letter from san diego 
to qualify her luck 
these flights connect through arizona 
but i think i'll stay stuck 

so here i am 
here i am 
well i woke up in a car 
i traced away the fog
so i could see the mississippi on her knees 
i've never been so lost 
i've never felt so much at home 
please write my folks and throw away my keys 
i woke up in a car 
i woke up in a car 

i met a girl who kept tattoos for homes 
that she had loved 
if i were her i'd paint my body 
until all my skin was gone 

she wrote me a letter as we passed through rockford 
she said she won't forget 
maybe i do maybe i don't 
but i know i haven't yet 

so here i am 
here i am 
well i woke up in a car 
i traced away the fog
so i could see the mississippi on her knees 
i've never been so lost 
i've never felt so much at home 
please write my folks and throw away my keys 
i woke up in a car 
i woke up in a car 

and maybe i could live forever 
if not ever i had known
that you'd be waiting here whenever i am all alone

but here i am 
well i woke up in a car 
i traced away the fog
so i could see the mississippi on her knees 
i've never been so lost 
i've never felt so much at home 
please write my folks and throw away my keys 

well i woke up in a car 
i traced away the fog
so i could see the mississippi on her knees 
i've never been so lost 
i've never felt so much at home 
please write my folks and throw away my keys 
i woke up in a car 
i woke up in a car 
i woke up in a car",2002
Something About You,Five for Fighting,https://www.azlyrics.com/lyrics/fiveforfighting/somethingaboutyou.html,"I don't know where to begin
I don't know how to get out there to see you
I don't know where to dig in.
I don't know how to get in there:to feel you 

It's been to long and I'm about to be in time for me
It's been to long and I'm in time 

Baby there's something about you that
I can hold on to
I'm going to hold on to that
Baby there's something about you that
I can hold on to 
I'm going to hold on to that 

I never thought I would win
I never thought much about that.
(It's been a long time coming)
I never stopped to begin
Thinking about the process.
(It's been a long time coming) 

It's been to long and I'm about to be in time for me
It's been to long and I'm in time 

Baby there's something about you that
I can hold on to 
I'm going to hold on to that
Baby there's something about you that
I can hold on to 
I'm going to hold on to that 

I don't know where to begin
I don't know how to get out there to see you 

Baby there's something about you that
I can hold on to 
I'm going to hold on to that
Baby there's something about you that
I can hold on to 
I'm going to hold on to that 

It's been a long time coming
I'm going to hold on to that 

And I'm going to be there:be there:alright",2000
Southern Belles In London Sing,The Faint,https://www.azlyrics.com/lyrics/faint/southernbellesinlondonsing.html,"Scarlet boots, the kiss of death
Patience and the end of it
Blended angels, whispered love
Countdown 'til it's gone, for long
Velvet voices, haunting slow
Darkened nooks, with bright decor
Georgian femmes are gone for weeks
Southern belles in london sing

I'm staring down the Eppley gate
Two more days before the plane arrives
And you'll be standing here with your smile
Carving up the lobby seats
Pushing down the caffeine drinks
Checking the arrival screens for yours

A hundred feet above the landing
There's a girl gliding down
She's floating toward me now
Her sleeves are all stretching out
And the jet is following behind

Wake up

London skids a grinding halt
Last night left to spend apart
Your bags are packed but now for home
Stories of the tour unfold
Booking Agents
Broken Nose
Butting heads with creeping dolts
Georgian Femmes are gone for weeks
Southern Belles in London Sing

Southern Belles in London Sing",2004
Your Touch,The Black Keys,https://www.azlyrics.com/lyrics/blackkeys/yourtouch.html,"And I want
And you got it
So much
I'm crazy for
Your touch

Your touch
Your touch
Your touch

And I'll be good
Like I should
Waitin' is such
Misery, I need
Your touch

Your touch
Your touch
Your touch

Hey

A little louder now
I've got to shout it now
Please rush
I need
Your touch

Your touch
Your touch
Your touch",2006
Sunday Morning,No Doubt,https://www.azlyrics.com/lyrics/nodoubt/sundaymorning.html,"Sappy pathetic little me 
That was the girl I used to be 
You had me on my knees 
I'd trade you places any day 
I'd never thought you could be that way 
But you looked like me on Sunday
You came in with the breeze 
On Sunday Morning 
You sure have changed since yesterday 
Without any warning 

I thought I knew you 
I thought I knew you 
I thought I knew you well... so well 

You're trying my shoes on for a change
They look so good but fit so strange 
Out of fashion so I can complain 

You came in with the breeze 
On Sunday Morning 
You sure have changed since yesterday
Without any warning 

I thought I knew you 
I thought I knew you 
I thought I knew you well... so well 

I know who I am, but who are you? 
You're not looking like you used to 
You're on the other side of the mirror 
So nothing's looking quite as clear 

Thank you, for turning on the light 
Thank you, now you're the parasite 
I didn't think you had it in you 
And now, you're looking like I used to! 

You came in with the breeze 
On Sunday Morning 
You sure have changed since yesterday 
Without any warning 
And you want me badly
You cannot have me 

I thought I knew you 
I've got a new view 
I thought I knew you well...oh well",1995
I Only Want You,Eagles of Death Metal,https://www.azlyrics.com/lyrics/eaglesofdeathmetal/ionlywantyou.html,"When I feel like you get too close I put you right down 
I never really leave I just slip away 
And it's not my purpose to break your spirit 
I'm not really interested in what's in your heart 
I don't want you to fall in love now so please don't start 

I only want you
I only want you
I only want you
I only want you

I know that it's terribly cruel but then I like it 
Because you tried to love me I just can't stay 
And I'm not gonna lie just to spare you feelings 
'Cause watching you suffer feels much better to me 
I'm about to lay destruction on you 
I'm not the lover man that you want me to be 
I said well... 

I only want you
I only want you
I only want you
I only want you

Now you see once you get too close 
I put you right down 
I never really leave I just slip away 
But it's not my purpose to break your spirit 
I'm not really interested in what's in your heart 
But now I have to lay destruction on you 
I'm not the lover man that you want me to be 
I said well... 

I only want you
I only want you
I only want you
I only want you",2004
I Like What You Say,Nada Surf,https://www.azlyrics.com/lyrics/nadasurf/ilikewhatyousay.html,"Emergency above
Put on your hard hats and invisible gloves
What's going on
I was on the wagon, I thought I was done
You have to watch out 
When one falls in, another came out

You say, I like what you say
I like what you say
You say, I like what you say
I like what you say

They say you have to have somebody
They say you have to be someone
They say if you're not lonely alone, boy there is something wrong

You say, I like what you say
I like what you say
You say, I like what you say
I like what you say

You say, baby, I only what to make you happy
Baby, I only want to make you

OOH [x3]

You say, I like what you say
I like what you say
You say, I like what you say
I like what you say

You say, baby, I only want to make you happy
Baby, I only what to make you",2008
1979,The Smashing Pumpkins,https://www.azlyrics.com/lyrics/smashingpumpkins/1979.html,"Shakedown 1979
Cool kids never have the time
On a live wire right up off the street
You and I should meet

Junebug skipping like a stone
With the headlights pointed at the dawn
We were sure we'd never see an end to it all

And I don't even care to shake these zipper blues
And we don't know just where our bones will rest
To dust I guess
Forgotten and absorbed into the earth below

Double-cross the vacant and the bored
They're not sure just what we have in store
Morphine city slipping dues down to see

That we don't even care as restless as we are
We feel the pull in the land of a thousand guilts
And poured cement, lamented and assured
To the lights and towns below

Faster than the speed of sound
Faster than we thought we'd go
Beneath the sound of hope

Justine never knew the rules,
Hung down with the freaks and ghouls
No apologies ever need be made
I know you better than you fake it to see

That we don't even care to shake these zipper blues
And we don't know just where our bones will rest
To dust I guess
Forgotten and absorbed into the earth below

The street heats the urgency of now
As you see there's no one around",1995
Monster Hospital,Metric,https://www.azlyrics.com/lyrics/metric/monsterhospital.html,"Monster hospital, can you please release me? 
You hold my hands down, I've been bad. 
You hold my arms down, I've been bad. 
I've been bad, I've been bad. 

I fought the war but the war won

Monster movie, Daddy Warbucks up against Bobby Fuller
And he beat him hands down
Lead in the head
Put a little lead in his head. 

I fought the war but the war won't stop for the love of god. 
I fought the war but the war won",2005
