song name,artist
With or Without You,U2
Who Wants to Live Forever,Queen
Fast Car,Tracy Chapman
Roulette,System of a Down
Nutshell,Alice in Chains
The Eternal,Joy Division
All I Need,Radiohead
Good Woman,Cat Power
Childbed depression (radio),Eftos
Epsilon Indi (radio),Eftos
Valse mortuary (radio),Eftos
Zeronin (radio),Eftos
Bedshaped,Keane
High and Dry,Radiohead
There Is a Light That Never Goes Out,The Smiths
We Might as Well Be Strangers,Keane
The Funeral,Band of Horses
Hey You,Pink Floyd
She's Leaving Home,The Beatles
Outside,Staind
Tonight I Wanna Cry,Keith Urban
Sutra,Modus
Goodbye to You,Michelle Branch
I-n-Gall,Modus
Like a Seed,Christina Antipa
Bitter Sunday (intro),Eftos
Wonderwall,Oasis
Pyramid Song,Radiohead
Through Glass,Stone Sour
Missing,Evanescence
Amie,Damien Rice
Blackout,Muse
The Blowers Daughter,Damien Rice
Love Is a Losing Game,Amy Winehouse
Happy Ending,Mika
The Ghost of You,My Chemical Romance
Sad Eyes,Bat for Lashes
Black Orpheus,Mary Juane Clair
Flume,Bon Iver
Near to You,A Fine Frenzy
Volcano,Damien Rice
Streets of Philadelphia,Bruce Springsteen
Stranger in Moscow,Michael Jackson
Raining In Baltimore,Counting Crows
Tiny Vessels,Death Cab for Cutie
I Know It's Over,The Smiths
When I See You,Modus
Requiem,Modus
Earth's Surface,Christina Antipa
Twilight,Elliott Smith
A Bad Dream,Keane
Cheers Darlin',Damien Rice
I Just Don't Think I'll Ever Get Over You,Colin Hay
How It Ends,DeVotchKa
While My Guitar Gently Weeps,The Beatles
Hometown Glory,Adele
In the Deep,Bird York
Nobody's Home,Avril Lavigne
Landing in London,3 Doors Down
Snuff,Slipknot
A Natural Disaster,Anathema
Alone,Modus
Slipped Away,Avril Lavigne
I Feel Love (Donna Summer) (Modus - Cool Summer Mix),Modus
By Balloon or Sinking Ship,Jordan O'Jordan
Progeria (radio),Eftos
Halfworld (radio),Eftos
Void war II (radio),Eftos
Lunatic ward (radio),Eftos
N = (radio),Eftos
Carpe Nihil (radio),Eftos
Bitter Sunday,Eftos
Eternal Call,Crane's Dreams
Dawn,Crane's Dreams
Karelian Forest,Crane's Dreams
Remember,Crane's Dreams
Voices,Crane's Dreams
Northern Silence,Crane's Dreams
Song of Free Wind,Crane's Dreams
Youth and Stars,Crane's Dreams
Night On the Straw Stack,Crane's Dreams
Lake Balkhash,Crane's Dreams
Polar Region,Crane's Dreams
"Goodbye, Grandmother",Crane's Dreams
November,Crane's Dreams
Memory,Crane's Dreams
Crane's Dreams,Crane's Dreams
Sur le fil,Yann Tiersen
Der Weg,Herbert Grönemeyer
Linger,The Cranberries
Boston,Augustana
"Haligh, Haligh, A Lie, Haligh",Bright Eyes
Follow the Cops Back Home,Placebo
Pierrot the Clown,Placebo
Pieces,Sum 41
No Home,Flowers From the Man Who Shot Your Cousin
Apart,The Cure
The Colour Of Love,Modus
It Might Never Happen,Loons
Moscas en la casa,Shakira
HOLLOW,志方あきこ
Children Without A Dawn,Modus
To You,Christina Antipa
Halfworld (finale),Eftos
Heartbeats,José González
Sour Times,Portishead
A Lack of Color,Death Cab for Cutie
The A Team,Ed Sheeran
High Hopes,Pink Floyd
Against All Odds,Phil Collins
All Good Things (Come to an End),Nelly Furtado
Viva Forever,Spice Girls
The Last Day of Summer,The Cure
Wild Geese,Flowers From the Man Who Shot Your Cousin
You Lost Me,Christina Aguilera
Sorriso,志方あきこ
Siren,志方あきこ
Liberated,Christina Antipa
Fullmoon,Crane's Dreams
Undenied,Portishead
Accidental Babies,Damien Rice
Fire and Rain,James Taylor
Bang Bang (My Baby Shot Me Down),Nancy Sinatra
The Long and Winding Road,The Beatles
Losing My Religion,R.E.M.
The Man Who Sold the World,Nirvana
Luka,Suzanne Vega
Glycerine,Bush
Knockin' on Heaven's Door,Bob Dylan
